Vardas Pavardė ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 Egz.
Vardas5053 Pavardė5053 2 4 9 9 1 9 9 1 2 4 8
Vardas5054 Pavardė5054 6 3 4 2 8 2 5 5 8 6 8
Vardas5055 Pavardė5055 7 2 7 5 1 5 4 6 8 10 5
Vardas5056 Pavardė5056 3 6 3 10 9 7 7 3 9 8 10
Vardas5057 Pavardė5057 3 5 7 9 9 6 7 8 1 2 1
Vardas5058 Pavardė5058 8 5 3 4 10 6 3 5 2 5 6
Vardas5059 Pavardė5059 8 7 2 4 8 6 5 10 10 10 9
Vardas5060 Pavardė5060 9 9 3 5 9 2 4 2 8 5 4
Vardas5061 Pavardė5061 1 3 3 9 2 4 8 8 2 5 5
Vardas5062 Pavardė5062 8 8 6 8 4 4 5 8 7 2 10
Vardas5063 Pavardė5063 6 10 1 2 3 10 1 9 5 9 8
Vardas5064 Pavardė5064 4 6 1 7 7 7 9 4 7 6 10
Vardas5065 Pavardė5065 4 1 3 8 4 9 4 6 4 2 8
Vardas5066 Pavardė5066 7 10 9 2 3 1 2 7 10 6 4
Vardas5067 Pavardė5067 6 1 4 5 4 2 4 10 7 9 1
Vardas5068 Pavardė5068 1 1 4 6 10 10 2 5 10 5 4
Vardas5069 Pavardė5069 9 10 5 7 3 1 1 2 8 8 7
Vardas5070 Pavardė5070 7 7 6 4 1 7 5 4 8 8 9
Vardas5071 Pavardė5071 1 1 7 7 7 10 9 8 10 2 6
Vardas5072 Pavardė5072 3 10 6 9 5 8 6 8 3 1 8
Vardas5073 Pavardė5073 10 2 1 7 1 8 2 9 10 7 1
Vardas5074 Pavardė5074 7 6 3 2 5 8 5 8 4 5 1
Vardas5075 Pavardė5075 4 9 9 4 1 2 2 5 9 2 6
Vardas5076 Pavardė5076 7 4 5 1 10 8 5 5 1 9 2
Vardas5077 Pavardė5077 4 4 3 7 10 4 5 5 2 2 10
Vardas5078 Pavardė5078 1 6 10 8 7 6 7 7 9 8 7
Vardas5079 Pavardė5079 3 6 4 7 3 5 3 1 4 5 5
Vardas5080 Pavardė5080 1 8 1 9 3 1 6 1 8 2 8
Vardas5081 Pavardė5081 9 5 3 1 9 1 9 1 7 10 6
Vardas5082 Pavardė5082 8 4 9 1 10 9 1 3 1 7 4
Vardas5083 Pavardė5083 9 5 3 4 8 5 4 5 10 5 5
Vardas5084 Pavardė5084 1 5 9 1 3 6 8 4 2 2 3
Vardas5085 Pavardė5085 4 4 8 9 4 5 10 4 1 4 9
Vardas5086 Pavardė5086 1 10 4 7 5 7 9 2 6 5 8
Vardas5087 Pavardė5087 10 9 4 4 6 9 1 5 1 7 1
Vardas5088 Pavardė5088 2 8 9 1 1 1 4 10 7 5 6
Vardas5089 Pavardė5089 2 8 2 5 4 5 5 1 7 3 8
Vardas5090 Pavardė5090 6 9 4 1 4 6 9 5 8 7 8
Vardas5091 Pavardė5091 5 9 10 6 7 10 8 2 9 1 9
Vardas5092 Pavardė5092 2 5 4 3 2 7 3 7 2 2 3
Vardas5093 Pavardė5093 3 1 6 10 10 1 1 5 3 9 10
Vardas5094 Pavardė5094 4 4 2 10 4 6 4 9 2 1 7
Vardas5095 Pavardė5095 7 3 7 4 2 3 8 10 6 5 10
Vardas5096 Pavardė5096 3 9 2 4 1 1 9 6 7 9 8
Vardas5097 Pavardė5097 2 1 8 7 5 6 9 1 1 1 3
Vardas5098 Pavardė5098 9 3 6 10 10 9 4 2 3 5 2
Vardas5099 Pavardė5099 1 6 4 6 7 10 2 5 6 8 2
Vardas5100 Pavardė5100 1 5 8 7 7 4 9 8 10 9 7
Vardas5101 Pavardė5101 4 2 1 5 10 2 3 9 3 3 4
Vardas5102 Pavardė5102 10 1 9 8 7 6 5 9 4 8 2
Vardas5103 Pavardė5103 8 6 1 1 4 8 1 4 5 6 2
Vardas5104 Pavardė5104 8 6 2 10 8 7 4 2 7 10 4
Vardas5105 Pavardė5105 10 5 9 6 8 3 5 10 5 6 4
Vardas5106 Pavardė5106 8 7 1 9 3 2 9 9 7 3 10
Vardas5107 Pavardė5107 2 9 8 8 1 7 8 4 4 4 9
Vardas5108 Pavardė5108 3 8 9 10 3 9 7 10 5 3 9
Vardas5109 Pavardė5109 6 9 2 2 5 3 1 6 8 2 4
Vardas5110 Pavardė5110 3 2 2 9 5 4 9 8 9 5 1
Vardas5111 Pavardė5111 1 4 10 7 9 8 8 3 5 8 7
Vardas5112 Pavardė5112 3 5 1 1 5 7 6 10 4 10 10
Vardas5113 Pavardė5113 7 1 9 9 3 4 5 2 5 2 8
Vardas5114 Pavardė5114 2 9 2 7 9 7 6 6 7 4 9
Vardas5115 Pavardė5115 7 7 7 3 5 8 8 9 2 1 3
Vardas5116 Pavardė5116 3 8 4 6 5 5 3 3 7 3 3
Vardas5117 Pavardė5117 3 10 3 10 9 3 7 1 10 9 7
Vardas5118 Pavardė5118 3 1 10 9 3 7 1 9 3 7 4
Vardas5119 Pavardė5119 2 5 8 10 4 1 1 8 6 4 10
Vardas5120 Pavardė5120 2 8 8 2 10 9 3 10 9 2 7
Vardas5121 Pavardė5121 6 9 5 4 3 5 7 5 10 6 9
Vardas5122 Pavardė5122 9 5 9 1 2 2 4 7 3 1 7
Vardas5123 Pavardė5123 8 1 7 1 1 4 10 5 10 5 3
Vardas5124 Pavardė5124 2 9 4 8 10 4 8 4 7 10 9
Vardas5125 Pavardė5125 3 1 4 8 3 3 2 7 3 5 1
Vardas5126 Pavardė5126 4 10 2 2 7 9 9 9 4 4 9
Vardas5127 Pavardė5127 5 8 3 8 7 6 10 7 6 7 7
Vardas5128 Pavardė5128 10 3 10 1 7 3 9 8 10 2 2
Vardas5129 Pavardė5129 9 5 9 9 10 9 1 2 4 4 3
Vardas5130 Pavardė5130 9 5 3 4 6 1 2 2 6 2 7
Vardas5131 Pavardė5131 3 7 7 3 6 6 9 4 3 8 2
Vardas5132 Pavardė5132 6 5 1 7 10 1 10 10 9 10 7
Vardas5133 Pavardė5133 10 3 1 4 5 4 6 7 1 8 10
Vardas5134 Pavardė5134 3 5 1 2 9 5 3 7 7 8 1
Vardas5135 Pavardė5135 5 3 1 10 10 7 4 5 1 3 4
Vardas5136 Pavardė5136 10 9 1 2 5 2 1 10 10 8 1
Vardas5137 Pavardė5137 3 10 4 1 4 6 7 8 1 1 4
Vardas5138 Pavardė5138 6 8 9 9 2 7 4 5 5 6 1
Vardas5139 Pavardė5139 5 3 8 1 4 7 9 3 10 1 10
Vardas5140 Pavardė5140 10 8 5 3 8 10 6 9 10 8 4
Vardas5141 Pavardė5141 7 9 8 10 6 9 2 5 6 10 9
Vardas5142 Pavardė5142 5 2 7 4 10 4 5 4 9 9 10
Vardas5143 Pavardė5143 6 1 2 5 6 7 6 8 3 6 9
Vardas5144 Pavardė5144 4 4 10 1 6 6 6 10 6 9 2
Vardas5145 Pavardė5145 8 7 5 3 3 9 1 4 4 8 9
Vardas5146 Pavardė5146 8 8 4 9 4 5 9 5 2 8 8
Vardas5147 Pavardė5147 3 3 4 2 8 9 6 1 7 7 4
Vardas5148 Pavardė5148 5 3 8 10 6 5 5 8 2 1 4
Vardas5149 Pavardė5149 2 9 9 4 5 3 7 9 3 7 3
Vardas5150 Pavardė5150 9 8 7 8 6 5 8 10 3 5 7
Vardas5151 Pavardė5151 8 2 4 2 4 1 4 2 10 7 6
Vardas5152 Pavardė5152 8 6 2 4 4 10 6 2 2 7 5
Vardas5153 Pavardė5153 2 9 4 6 8 7 10 4 9 9 10
Vardas5154 Pavardė5154 10 10 2 1 1 4 6 10 6 1 5
Vardas5155 Pavardė5155 8 9 9 2 10 1 8 7 3 10 5
Vardas5156 Pavardė5156 3 3 7 1 5 7 9 5 10 6 7
Vardas5157 Pavardė5157 3 6 6 1 7 3 10 6 4 8 9
Vardas5158 Pavardė5158 6 3 3 3 7 6 8 9 9 9 9
Vardas5159 Pavardė5159 10 8 3 6 2 7 4 9 7 2 3
Vardas5160 Pavardė5160 10 4 7 10 10 7 1 1 10 6 10
Vardas5161 Pavardė5161 6 1 9 10 8 3 1 7 3 4 1
Vardas5162 Pavardė5162 7 7 9 5 9 4 8 6 10 2 8
Vardas5163 Pavardė5163 5 4 9 9 9 5 2 5 6 2 1
Vardas5164 Pavardė5164 7 1 1 9 10 6 1 4 5 10 9
Vardas5165 Pavardė5165 5 4 9 2 10 10 10 10 7 10 3
Vardas5166 Pavardė5166 8 2 1 4 1 1 4 5 9 10 5
Vardas5167 Pavardė5167 2 8 8 3 5 4 4 6 5 9 6
Vardas5168 Pavardė5168 4 6 3 7 3 2 3 3 10 1 10
Vardas5169 Pavardė5169 6 2 4 3 3 6 7 1 2 7 10
Vardas5170 Pavardė5170 10 7 10 2 8 6 2 8 1 8 7
Vardas5171 Pavardė5171 6 1 6 7 1 6 3 6 3 3 6
Vardas5172 Pavardė5172 4 10 10 10 1 5 5 8 7 1 8
Vardas5173 Pavardė5173 1 7 1 4 6 2 8 8 8 3 2
Vardas5174 Pavardė5174 7 3 6 2 1 8 4 1 6 7 7
Vardas5175 Pavardė5175 7 3 8 1 3 6 8 9 7 1 9
Vardas5176 Pavardė5176 9 6 4 9 9 2 4 5 2 10 8
Vardas5177 Pavardė5177 8 4 2 1 8 1 10 4 4 9 3
Vardas5178 Pavardė5178 3 8 10 9 1 1 3 6 10 7 4
Vardas5179 Pavardė5179 8 8 2 4 8 8 3 6 7 8 4
Vardas5180 Pavardė5180 5 9 5 7 9 6 5 9 1 10 5
Vardas5181 Pavardė5181 2 6 10 7 4 3 9 3 4 7 4
Vardas5182 Pavardė5182 5 5 9 10 2 1 9 3 8 6 2
Vardas5183 Pavardė5183 9 4 10 10 1 6 10 1 4 10 5
Vardas5184 Pavardė5184 4 8 4 9 2 3 7 8 5 10 4
Vardas5185 Pavardė5185 2 7 9 5 4 7 6 1 1 9 1
Vardas5186 Pavardė5186 9 2 6 10 3 6 4 6 1 4 3
Vardas5187 Pavardė5187 9 5 8 2 4 9 6 10 10 8 8
Vardas5188 Pavardė5188 8 1 6 8 7 3 4 9 7 3 5
Vardas5189 Pavardė5189 9 3 1 8 10 7 8 8 9 3 2
Vardas5190 Pavardė5190 4 2 3 6 2 1 4 10 8 6 2
Vardas5191 Pavardė5191 6 4 1 7 8 2 6 3 1 3 4
Vardas5192 Pavardė5192 7 7 2 6 4 2 10 7 7 9 10
Vardas5193 Pavardė5193 7 9 6 10 5 8 3 8 3 3 9
Vardas5194 Pavardė5194 2 8 7 7 10 6 3 8 9 8 4
Vardas5195 Pavardė5195 4 2 5 5 7 7 3 7 7 3 7
Vardas5196 Pavardė5196 6 2 1 8 7 9 10 6 3 4 7
Vardas5197 Pavardė5197 4 1 9 7 9 1 10 4 5 9 10
Vardas5198 Pavardė5198 9 8 6 5 7 4 9 8 4 10 8
Vardas5199 Pavardė5199 6 5 7 1 2 10 1 10 7 6 8
Vardas5200 Pavardė5200 9 6 9 5 6 6 8 9 6 2 10
Vardas5201 Pavardė5201 5 1 7 3 4 9 10 8 1 1 9
Vardas5202 Pavardė5202 2 10 1 9 9 10 6 9 1 7 7
Vardas5203 Pavardė5203 10 5 2 1 8 1 7 4 4 5 7
Vardas5204 Pavardė5204 2 9 8 7 7 8 4 10 9 7 3
Vardas5205 Pavardė5205 5 3 6 10 4 3 6 5 7 3 8
Vardas5206 Pavardė5206 5 4 6 4 8 6 3 3 4 9 3
Vardas5207 Pavardė5207 1 10 10 9 8 1 6 1 10 2 8
Vardas5208 Pavardė5208 3 2 10 2 1 5 1 6 3 5 7
Vardas5209 Pavardė5209 5 2 3 2 1 2 1 10 7 9 4
Vardas5210 Pavardė5210 7 6 2 3 9 10 7 9 2 10 3
Vardas5211 Pavardė5211 7 4 9 9 10 10 1 8 1 4 4
Vardas5212 Pavardė5212 9 1 1 5 7 10 9 6 8 4 10
Vardas5213 Pavardė5213 6 2 7 5 6 2 1 5 8 3 3
Vardas5214 Pavardė5214 6 9 3 7 1 7 6 6 7 10 7
Vardas5215 Pavardė5215 1 3 8 7 3 2 10 10 4 3 6
Vardas5216 Pavardė5216 6 8 3 5 5 8 7 6 5 3 6
Vardas5217 Pavardė5217 4 7 3 3 4 4 4 6 2 8 1
Vardas5218 Pavardė5218 1 8 2 6 2 4 1 6 5 6 1
Vardas5219 Pavardė5219 1 2 10 8 2 1 2 3 3 9 4
Vardas5220 Pavardė5220 3 2 5 5 3 9 3 8 4 9 3
Vardas5221 Pavardė5221 2 5 7 10 9 9 6 9 8 5 8
Vardas5222 Pavardė5222 6 1 3 1 6 6 2 2 5 5 5
Vardas5223 Pavardė5223 3 5 7 10 7 7 6 9 8 4 1
Vardas5224 Pavardė5224 8 7 9 3 4 7 2 4 6 3 10
Vardas5225 Pavardė5225 9 9 6 6 3 8 2 3 5 10 2
Vardas5226 Pavardė5226 8 6 2 2 8 3 9 10 9 1 10
Vardas5227 Pavardė5227 4 5 5 2 5 5 4 5 6 5 7
Vardas5228 Pavardė5228 5 3 9 9 3 9 2 5 7 7 10
Vardas5229 Pavardė5229 7 9 7 1 6 2 7 7 7 1 8
Vardas5230 Pavardė5230 9 5 8 4 1 5 1 2 5 1 9
Vardas5231 Pavardė5231 8 4 10 1 4 3 8 10 3 7 9
Vardas5232 Pavardė5232 10 1 2 9 7 3 1 8 7 10 5
Vardas5233 Pavardė5233 10 2 9 1 4 2 6 9 2 4 6
Vardas5234 Pavardė5234 7 3 10 9 7 7 2 4 8 2 6
Vardas5235 Pavardė5235 5 1 1 6 9 2 10 4 10 5 5
Vardas5236 Pavardė5236 5 7 9 4 1 2 9 1 8 1 3
Vardas5237 Pavardė5237 1 8 1 7 6 1 4 2 5 3 7
Vardas5238 Pavardė5238 10 7 8 8 5 6 4 7 10 2 6
Vardas5239 Pavardė5239 5 10 5 8 4 2 10 5 10 7 8
Vardas5240 Pavardė5240 5 4 2 3 1 10 5 2 8 6 1
Vardas5241 Pavardė5241 8 10 8 10 3 10 3 9 6 9 4
Vardas5242 Pavardė5242 7 8 7 4 10 1 7 1 10 10 2
Vardas5243 Pavardė5243 8 4 5 4 6 3 4 1 4 9 10
Vardas5244 Pavardė5244 4 7 8 3 5 8 9 10 8 7 3
Vardas5245 Pavardė5245 5 10 1 6 1 6 10 9 6 10 2
Vardas5246 Pavardė5246 8 9 8 6 9 4 6 1 3 7 2
Vardas5247 Pavardė5247 5 9 3 7 5 3 4 8 7 9 5
Vardas5248 Pavardė5248 9 8 9 7 2 2 1 4 7 2 3
Vardas5249 Pavardė5249 4 5 3 9 10 1 6 10 2 7 3
Vardas5250 Pavardė5250 10 4 5 6 3 1 8 1 8 9 6
Vardas5251 Pavardė5251 3 4 2 1 5 9 2 8 8 4 3
Vardas5252 Pavardė5252 7 7 6 5 9 9 4 6 3 6 1
Vardas5253 Pavardė5253 10 5 2 7 2 8 8 7 7 5 10
Vardas5254 Pavardė5254 4 4 2 8 3 4 9 2 8 4 3
Vardas5255 Pavardė5255 3 10 7 8 4 8 6 7 2 8 9
Vardas5256 Pavardė5256 3 9 10 7 9 8 9 6 7 5 7
Vardas5257 Pavardė5257 9 5 9 4 7 10 5 10 3 7 1
Vardas5258 Pavardė5258 5 7 7 3 7 6 9 3 5 2 3
Vardas5259 Pavardė5259 3 6 7 9 3 7 2 4 5 10 9
Vardas5260 Pavardė5260 5 4 3 10 1 2 3 5 7 1 8
Vardas5261 Pavardė5261 4 2 3 10 1 6 9 9 10 7 3
Vardas5262 Pavardė5262 8 2 6 9 5 10 9 10 10 10 1
Vardas5263 Pavardė5263 2 3 5 4 7 1 9 3 2 2 7
Vardas5264 Pavardė5264 10 9 4 1 2 1 4 8 7 1 9
Vardas5265 Pavardė5265 9 6 7 2 1 1 2 4 6 3 3
Vardas5266 Pavardė5266 7 4 8 2 3 7 5 2 9 8 7
Vardas5267 Pavardė5267 5 3 7 7 1 1 8 2 9 10 5
Vardas5268 Pavardė5268 1 5 9 3 2 2 2 5 7 9 4
Vardas5269 Pavardė5269 9 9 3 1 6 7 5 3 1 9 1
Vardas5270 Pavardė5270 2 6 7 1 5 8 6 2 2 6 5
Vardas5271 Pavardė5271 3 5 5 10 7 4 7 8 1 1 5
Vardas5272 Pavardė5272 2 9 6 1 3 10 5 9 5 1 1
Vardas5273 Pavardė5273 8 9 2 2 4 6 6 3 1 6 6
Vardas5274 Pavardė5274 7 8 6 5 10 8 1 9 10 8 2
Vardas5275 Pavardė5275 1 6 6 10 2 7 9 10 8 9 2
Vardas5276 Pavardė5276 9 7 10 1 7 3 2 8 4 3 8
Vardas5277 Pavardė5277 8 7 4 4 2 4 5 4 4 9 9
Vardas5278 Pavardė5278 1 9 3 1 6 10 10 8 2 4 4
Vardas5279 Pavardė5279 8 3 1 7 10 5 10 6 6 7 6
Vardas5280 Pavardė5280 7 5 1 9 2 4 1 2 5 1 5
Vardas5281 Pavardė5281 1 4 3 1 2 10 1 5 5 8 3
Vardas5282 Pavardė5282 9 4 10 1 4 6 2 1 6 7 1
Vardas5283 Pavardė5283 4 1 1 9 4 8 9 4 3 7 10
Vardas5284 Pavardė5284 2 8 1 10 10 4 3 8 4 8 7
Vardas5285 Pavardė5285 8 1 1 8 3 2 5 6 9 5 3
Vardas5286 Pavardė5286 5 3 3 8 9 5 10 6 9 6 9
Vardas5287 Pavardė5287 4 1 5 2 10 10 9 2 1 4 10
Vardas5288 Pavardė5288 9 8 8 7 4 4 4 6 7 10 5
Vardas5289 Pavardė5289 2 8 8 5 4 10 2 7 5 7 10
Vardas5290 Pavardė5290 9 1 4 5 9 7 2 2 3 2 4
Vardas5291 Pavardė5291 6 3 2 4 4 7 9 7 6 7 10
Vardas5292 Pavardė5292 8 2 1 7 9 3 7 6 4 5 6
Vardas5293 Pavardė5293 6 10 3 8 5 7 5 2 4 7 4
Vardas5294 Pavardė5294 8 1 6 2 2 7 9 2 8 8 3
Vardas5295 Pavardė5295 5 9 5 1 8 8 3 9 9 10 5
Vardas5296 Pavardė5296 6 3 6 7 4 10 2 6 10 8 3
Vardas5297 Pavardė5297 1 4 6 6 9 3 6 5 5 1 9
Vardas5298 Pavardė5298 6 7 3 3 2 7 4 10 2 7 10
Vardas5299 Pavardė5299 7 5 10 9 7 6 7 7 3 2 9
Vardas5300 Pavardė5300 7 2 4 9 7 4 10 7 3 5 6
Vardas5301 Pavardė5301 6 1 7 1 9 2 1 4 1 6 1
Vardas5302 Pavardė5302 10 5 9 10 7 10 6 9 4 1 7
Vardas5303 Pavardė5303 9 1 10 4 2 7 9 3 9 4 8
Vardas5304 Pavardė5304 7 6 3 10 5 10 7 3 6 5 4
Vardas5305 Pavardė5305 6 10 2 6 6 1 4 9 8 6 7
Vardas5306 Pavardė5306 6 3 4 3 1 9 10 1 2 5 7
Vardas5307 Pavardė5307 6 7 8 8 1 2 9 1 2 8 5
Vardas5308 Pavardė5308 2 10 1 9 4 3 2 1 3 10 7
Vardas5309 Pavardė5309 6 2 1 8 4 5 6 3 4 8 10
Vardas5310 Pavardė5310 1 3 1 9 6 3 5 3 7 7 7
Vardas5311 Pavardė5311 2 3 3 5 8 2 10 4 9 1 6
Vardas5312 Pavardė5312 7 6 7 5 2 6 6 4 10 2 2
Vardas5313 Pavardė5313 5 4 4 10 3 8 2 6 7 9 4
Vardas5314 Pavardė5314 6 7 4 7 8 7 7 3 9 7 3
Vardas5315 Pavardė5315 3 1 2 1 9 3 8 10 3 6 10
Vardas5316 Pavardė5316 4 10 10 7 10 7 8 4 10 9 4
Vardas5317 Pavardė5317 6 8 7 1 9 4 2 10 10 10 2
Vardas5318 Pavardė5318 3 4 3 6 2 10 6 5 8 8 8
Vardas5319 Pavardė5319 4 3 3 5 8 3 5 8 1 6 6
Vardas5320 Pavardė5320 9 8 9 7 2 6 5 8 1 6 8
Vardas5321 Pavardė5321 8 7 5 2 10 5 2 1 6 10 5
Vardas5322 Pavardė5322 4 1 6 10 4 6 7 10 3 2 7
Vardas5323 Pavardė5323 2 3 1 9 3 7 3 5 2 7 6
Vardas5324 Pavardė5324 7 6 9 8 7 7 8 9 1 10 6
Vardas5325 Pavardė5325 5 8 6 10 3 4 9 4 9 6 6
Vardas5326 Pavardė5326 7 6 2 4 9 5 8 3 1 10 10
Vardas5327 Pavardė5327 10 2 8 6 10 4 4 3 6 4 6
Vardas5328 Pavardė5328 7 2 6 3 9 6 6 1 10 2 3
Vardas5329 Pavardė5329 1 9 3 9 7 1 9 10 3 10 8
Vardas5330 Pavardė5330 2 4 2 10 6 7 6 2 1 9 6
Vardas5331 Pavardė5331 8 7 1 1 7 1 5 9 9 8 5
Vardas5332 Pavardė5332 3 6 8 8 8 8 5 6 7 10 8
Vardas5333 Pavardė5333 10 1 1 5 3 3 9 8 7 9 4
Vardas5334 Pavardė5334 6 9 3 9 9 6 5 1 7 10 9
Vardas5335 Pavardė5335 8 7 9 1 6 1 2 9 8 9 2
Vardas5336 Pavardė5336 10 9 5 4 5 10 8 6 4 10 8
Vardas5337 Pavardė5337 4 2 6 1 6 5 6 7 4 7 7
Vardas5338 Pavardė5338 7 5 4 3 7 6 8 6 2 8 7
Vardas5339 Pavardė5339 1 9 1 3 10 6 6 9 5 3 9
Vardas5340 Pavardė5340 7 3 9 10 3 7 5 7 7 8 3
Vardas5341 Pavardė5341 10 5 1 10 4 6 2 4 7 8 3
Vardas5342 Pavardė5342 6 1 6 5 6 6 2 10 2 6 8
Vardas5343 Pavardė5343 4 6 3 6 6 7 7 6 2 4 8
Vardas5344 Pavardė5344 10 10 5 2 7 9 10 10 8 3 3
Vardas5345 Pavardė5345 8 10 7 1 9 7 7 6 6 6 5
Vardas5346 Pavardė5346 7 5 6 4 1 10 10 2 1 8 3
Vardas5347 Pavardė5347 9 7 9 8 2 6 6 9 9 7 7
Vardas5348 Pavardė5348 7 4 2 4 7 6 4 6 6 7 3
Vardas5349 Pavardė5349 8 2 5 2 5 2 10 3 9 10 1
Vardas5350 Pavardė5350 7 4 7 1 5 5 4 4 9 8 8
Vardas5351 Pavardė5351 9 4 8 4 8 3 4 10 2 3 9
Vardas5352 Pavardė5352 6 1 4 1 4 8 8 6 8 8 2
Vardas5353 Pavardė5353 7 9 2 1 3 10 3 4 2 5 1
Vardas5354 Pavardė5354 2 3 5 7 10 8 5 10 9 3 7
Vardas5355 Pavardė5355 5 10 9 1 4 1 3 9 2 2 1
Vardas5356 Pavardė5356 9 6 4 5 3 8 8 4 4 4 9
Vardas5357 Pavardė5357 5 9 3 2 5 3 10 8 3 1 9
Vardas5358 Pavardė5358 3 7 9 7 10 10 9 4 6 7 7
Vardas5359 Pavardė5359 1 6 2 10 1 8 8 3 4 10 1
Vardas5360 Pavardė5360 2 7 4 10 8 9 10 9 5 1 10
Vardas5361 Pavardė5361 3 2 2 3 7 6 10 5 9 7 5
Vardas5362 Pavardė5362 7 5 7 10 8 9 4 9 4 4 10
Vardas5363 Pavardė5363 7 3 4 4 4 10 3 9 10 8 8
Vardas5364 Pavardė5364 9 6 9 2 2 6 8 2 4 7 6
Vardas5365 Pavardė5365 2 9 4 5 6 1 4 9 4 9 10
Vardas5366 Pavardė5366 9 7 6 8 6 9 2 4 3 5 2
Vardas5367 Pavardė5367 1 7 9 1 1 4 5 5 10 10 7
Vardas5368 Pavardė5368 6 2 3 7 4 9 8 9 1 2 5
Vardas5369 Pavardė5369 8 2 4 3 1 8 7 2 3 2 4
Vardas5370 Pavardė5370 3 10 1 7 8 8 8 1 8 4 7
Vardas5371 Pavardė5371 6 6 7 6 10 5 8 3 9 4 8
Vardas5372 Pavardė5372 1 7 6 3 5 2 5 2 1 9 6
Vardas5373 Pavardė5373 7 3 8 7 6 2 2 6 5 5 4
Vardas5374 Pavardė5374 10 10 9 6 6 3 7 10 5 3 4
Vardas5375 Pavardė5375 6 5 3 3 5 10 2 6 10 8 6
Vardas5376 Pavardė5376 3 7 7 8 9 1 1 6 3 8 6
Vardas5377 Pavardė5377 9 1 4 2 8 8 3 9 6 1 6
Vardas5378 Pavardė5378 5 1 6 3 8 1 1 6 6 4 7
Vardas5379 Pavardė5379 10 1 2 5 4 2 9 2 5 4 1
Vardas5380 Pavardė5380 6 4 6 1 2 2 3 9 10 1 6
Vardas5381 Pavardė5381 1 7 2 8 5 6 3 6 6 5 8
Vardas5382 Pavardė5382 4 8 10 7 8 2 4 3 2 4 6
Vardas5383 Pavardė5383 4 8 1 4 10 8 7 3 7 1 9
Vardas5384 Pavardė5384 5 6 3 6 7 5 7 3 7 3 7
Vardas5385 Pavardė5385 7 2 6 8 3 2 6 3 3 9 1
Vardas5386 Pavardė5386 9 3 2 5 8 9 8 4 8 1 4
Vardas5387 Pavardė5387 4 4 10 10 4 2 3 3 3 1 4
Vardas5388 Pavardė5388 9 1 7 9 10 1 7 3 9 1 3
Vardas5389 Pavardė5389 1 1 1 10 7 3 1 6 3 5 2
Vardas5390 Pavardė5390 5 9 4 1 2 6 5 1 7 2 9
Vardas5391 Pavardė5391 4 2 1 6 6 7 10 4 8 3 6
Vardas5392 Pavardė5392 3 3 8 3 10 7 2 6 2 5 4
Vardas5393 Pavardė5393 5 4 7 6 5 3 5 4 1 5 7
Vardas5394 Pavardė5394 7 2 4 8 6 6 9 4 5 7 9
Vardas5395 Pavardė5395 8 9 6 8 4 3 9 3 3 6 1
Vardas5396 Pavardė5396 8 8 6 3 5 7 2 1 9 5 7
Vardas5397 Pavardė5397 4 6 5 10 7 10 10 6 10 9 4
Vardas5398 Pavardė5398 3 10 1 4 4 10 2 4 7 2 9
Vardas5399 Pavardė5399 4 7 2 8 10 8 2 2 9 1 3
Vardas5400 Pavardė5400 10 3 8 3 2 5 7 2 2 5 4
Vardas5401 Pavardė5401 7 3 5 2 6 1 5 4 5 1 3
Vardas5402 Pavardė5402 7 1 4 5 6 4 3 6 6 6 10
Vardas5403 Pavardė5403 3 10 10 10 3 6 1 2 9 10 9
Vardas5404 Pavardė5404 2 8 9 8 10 4 8 10 8 4 3
Vardas5405 Pavardė5405 3 1 6 7 3 6 6 9 10 10 1
Vardas5406 Pavardė5406 9 8 8 4 6 4 3 6 8 7 6
Vardas5407 Pavardė5407 7 10 6 10 1 2 3 8 2 9 6
Vardas5408 Pavardė5408 3 3 3 7 3 4 1 10 6 6 7
Vardas5409 Pavardė5409 1 8 8 7 2 1 8 10 6 1 2
Vardas5410 Pavardė5410 5 3 5 3 3 7 1 6 2 9 10
Vardas5411 Pavardė5411 10 7 8 1 6 3 8 3 2 3 7
Vardas5412 Pavardė5412 7 10 2 5 2 9 8 10 3 6 6
Vardas5413 Pavardė5413 9 10 2 5 3 3 3 1 5 4 1
Vardas5414 Pavardė5414 4 8 3 6 1 6 1 1 2 6 4
Vardas5415 Pavardė5415 10 1 6 8 4 2 3 10 1 2 7
Vardas5416 Pavardė5416 2 6 1 4 3 4 4 8 7 7 6
Vardas5417 Pavardė5417 5 3 7 4 2 8 8 1 2 3 2
Vardas5418 Pavardė5418 5 6 5 4 3 7 9 8 6 2 1
Vardas5419 Pavardė5419 6 5 2 5 4 6 7 2 5 2 5
Vardas5420 Pavardė5420 6 9 6 10 10 3 7 3 1 9 1
Vardas5421 Pavardė5421 5 10 4 10 6 4 4 3 8 3 2
Vardas5422 Pavardė5422 7 7 10 6 3 3 5 5 2 4 8
Vardas5423 Pavardė5423 4 4 6 5 3 5 4 8 4 6 9
Vardas5424 Pavardė5424 1 8 6 10 3 10 10 10 5 3 10
Vardas5425 Pavardė5425 9 3 7 2 6 4 7 7 5 5 10
Vardas5426 Pavardė5426 4 4 9 2 2 2 6 9 7 5 10
Vardas5427 Pavardė5427 2 8 9 4 8 5 7 4 1 1 10
Vardas5428 Pavardė5428 2 3 3 8 3 1 7 5 9 10 6
